path	bytes	lines	sha256	upstream_v6.18
drivers/misc/mediatek-consys/common/linux/pri/wmt_exp.c	15061	600	ec1e431379c6c123317d37b86cf4acde10a4e591a436dc3b396f67d43d4eacaa	absent
drivers/misc/mediatek-consys/common/linux/pub/bgw_desense.c	4129	177	4f9f7ca8b0f423b55d3373df1aacef114cfd3da1b457f737faabae3a72b6110e	absent
drivers/misc/mediatek-consys/common/linux/pub/osal.c	29028	1331	b4f608f2f6d0b7911086b432719e30c5e673baec18eb103427cb48d5a5923f17	absent
drivers/misc/mediatek-consys/common/linux/pub/stp_chrdev_bt.c	15494	552	ad3cc011f8d62cf8826e36999d5231b659c3b8d6d18c86026cab16fe4b67546d	absent
drivers/misc/mediatek-consys/common/linux/pub/stp_chrdev_gps.c	14254	531	f6b0068a4342bbb13df2e7515441e8cc4f29eda8c6ec7f00a4ba70de9583b538	absent
drivers/misc/mediatek-consys/common/linux/pub/wmt_chrdev_wifi.c	21283	671	872859cfa7ceeae4a21bf2cb4f020210e004673235be6cffd8b0d783b1efa3eb	absent
drivers/misc/mediatek-consys/common/linux/pub/wmt_idc.c	7618	303	e27d8428bcbf45fe5786b07cde0a95a5a6b21f5c0e508fefbf697a3af6e93d25	absent
drivers/misc/mediatek-consys/detect/Makefile	122	2	ff4012f18c89ded06fb3709cec32c4dbf78c31a055423260a0fec7557f00cd87	absent
drivers/misc/mediatek-consys/detect/drv_init/bluetooth_drv_init.c	1002	33	cdeeb161474a6b745fa4ccbbe68ea32e3a41206a2d0af60dead76a4f991f64f0	absent
drivers/misc/mediatek-consys/detect/drv_init/common_drv_init.c	2842	109	fb180d1e3e64cfbd44c5076849bb31bcbdf84a500460993915e3229ace275333	absent
drivers/misc/mediatek-consys/detect/drv_init/conn_drv_init.c	2001	82	ba44e4fcef4db61bb152f5be6993b8c854172644034ebde44a0973b70eafa159	absent
drivers/misc/mediatek-consys/detect/drv_init/fm_drv_init.c	954	36	2c539eb114bc663fafb0cbd1f07d4fa555fe4836336c7a4fc183f567e865ef3a	absent
drivers/misc/mediatek-consys/detect/drv_init/gps_drv_init.c	981	34	c13c5b5401ae07ee0386c2b1d4192c7fd7e9aa89b6d8ffb2318aa2c0a43da7fd	absent
drivers/misc/mediatek-consys/detect/drv_init/inc/bluetooth_drv_init.h	782	21	3d73c8f393c1004eece39197b2f71e52f848b42107bbb8005017451cf6e2e07b	absent
drivers/misc/mediatek-consys/detect/drv_init/inc/common_drv_init.h	1071	34	c663cd9ea15ec0063339b1b7842f64b88a7fc3b1473441ddd935c25a6344e96a	absent
drivers/misc/mediatek-consys/detect/drv_init/inc/conn_drv_init.h	746	19	9026d5d75833a5b6f33d1f4287773a0bf482ef027f24e04fc74cdd23ab7de4f8	absent
drivers/misc/mediatek-consys/detect/drv_init/inc/fm_drv_init.h	782	21	bd9a68c631cc49cb9fc6bda3846971a534a08e45a06d366987c25c7a21258542	absent
drivers/misc/mediatek-consys/detect/drv_init/inc/gps_drv_init.h	764	20	e7fa40d98f165d409cc52316abcb9e7a7c67b46ce99ef9633ff6733ef928cec4	absent
drivers/misc/mediatek-consys/detect/drv_init/inc/wlan_drv_init.h	1111	37	5d755afd8692d95f26d429ce2c23f5f70d1e57e379acda3cefb88884ad26918b	absent
drivers/misc/mediatek-consys/detect/drv_init/wlan_drv_init.c	2491	98	6b5071c9c3dd3df335a96a1f22b530cd91b425bff05aa1e950b39c42d6972f7f	absent
drivers/misc/mediatek-consys/detect/mtk_wcn_stub_alps.c	11281	358	dc196a44c844e147e06ee2593f657c80c39dc37682029861dfa0b1fa3a3653ab	absent
drivers/misc/mediatek-consys/detect/sdio_detect.c	503	34	77d4e3a4a02ae75b2ce1f06af759aacadf00d6607b655aa87461721014a26616	absent
drivers/misc/mediatek-consys/detect/sdio_detect.h	1368	47	f2c7184e2e945f916d220df5ba4a6b3b10497d19581d1ee1486932c06556822e	absent
drivers/misc/mediatek-consys/detect/wmt_detect.c	7688	344	b0e65742f8d3c931c429df6151f97b697047c60d8343ebe4ab9d25a436fc535c	absent
drivers/misc/mediatek-consys/detect/wmt_detect.h	3488	84	36548de8f8acc992c376f34eb9ee3000da7e4c7272ce6a87eba831bbafd21494	absent
drivers/misc/mediatek-consys/detect/wmt_detect_pwr.c	542	23	43952e6810d7f3db86dd64d31fad64552f5887c778aa52dd8fb6f16b8af49ed7	absent
drivers/misc/mediatek-consys/detect/wmt_detect_pwr.h	1058	33	974f93476daa2d6ae2580c12630aac86dcaf8a17e501e6874dad5f703f482d7e	absent
