input-event0.txt
Event: time 1659312647.662543, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312647.752551, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312648.052577, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312648.202555, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312651.742603, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312651.802567, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312651.922591, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312652.042589, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312652.102589, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312652.222575, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312652.372587, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312652.492587, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312652.642579, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312652.732571, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312655.162596, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312655.252598, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312655.522617, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312655.672594, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312655.792697, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312655.912612, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312656.062610, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312656.182600, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312656.362610, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312656.482600, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312656.662620, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312656.812608, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312657.052677, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312657.172620, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312657.442623, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312657.532614, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312657.772617, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312657.862611, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312658.042662, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312658.162614, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312658.222623, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312658.312619, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312658.372629, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312658.462620, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312658.552646, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312658.642652, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312658.732638, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312658.852619, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312659.002747, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312659.092645, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312659.242652, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312659.362621, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312659.452631, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312659.512657, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312659.692675, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312659.812659, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312659.902657, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312660.022631, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312660.142658, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312660.232630, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312660.352632, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312660.442650, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312660.532627, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312660.592639, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312660.652641, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312660.802634, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312662.872670, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312662.932646, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312663.142690, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312663.232648, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312663.352676, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312663.442655, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312663.592655, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312663.682658, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312663.802670, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312663.922680, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
Event: time 1659312664.072683, type 1 (EV_KEY), code 158 (KEY_BACK), value 1
Event: time 1659312664.132679, type 1 (EV_KEY), code 158 (KEY_BACK), value 0
Event: time 1659312664.282687, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 1
Event: time 1659312664.402661, type 1 (EV_KEY), code 106 (KEY_RIGHT), value 0
Event: time 1659312664.462667, type 1 (EV_KEY), code 105 (KEY_LEFT), value 1
Event: time 1659312664.552662, type 1 (EV_KEY), code 105 (KEY_LEFT), value 0
Event: time 1659312664.612667, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 1
Event: time 1659312664.672669, type 1 (EV_KEY), code 164 (KEY_PLAYPAUSE), value 0
Event: time 1659312664.792681, type 1 (EV_KEY), code 28 (KEY_ENTER), value 1
Event: time 1659312664.852681, type 1 (EV_KEY), code 28 (KEY_ENTER), value 0
